coral_id,SA
1,22.4680345
2,28.3475275
3,18.5524545
4,22.041151499999998
5,38.1653655
6,17.9765
7,24.701438000000003
8,9.450771999999997
9,15.383017
10,19.3291335
11,15.9021375
12,27.417930499999997
13,11.47984
14,12.110666
15,10.858826500000001
16,25.3558925
17,9.556904
18,14.7492865
19,9.6147585
20,9.007717999999999
21,10.917466000000001
22,10.360430000000001
23,9.884591259999999
24,9.7893425
25,12.285564000000003
26,8.60668976
27,16.501249500000004
28,11.339482000000002
29,12.254242500000002
30,12.4358915
31,12.000295
32,17.049415
33,10.042426500000001
34,10.827819000000002
35,7.872922
36,15.157251000000002
37,11.468536
38,9.561770999999998
39,13.605148999999999
40,26.901792999999998
41,19.703892500000002
42,14.538042999999998
43,21.725424500000003
44,18.972979
45,16.9874785
46,10.527164
47,13.235728000000002
48,11.2200835
49,14.4341875
50,18.6742865
51,8.444166500000001
52,7.445882000000002
53,8.235591999999999
54,9.472281
55,14.2968125
56,14.5612005
57,15.113762000000003
58,9.715866500000002
59,16.2560155
60,18.8185695
61,10.005531500000002
62,8.441105
63,10.9789315
64,7.920336000000002
65,16.358458000000002
66,23.819726
67,11.0615135
68,8.815314500000001
69,9.385224500000001
70,11.800905
71,19.362653
72,13.671795500000002
73,13.0631065
74,13.263124500000002
75,20.186667500000006
76,13.954945
77,10.508481000000002
78,10.711638999999996
79,15.960698500000003
80,10.8349625
81,10.2396185
82,9.9410045
83,11.238845000000001
84,12.915526499999999
85,11.493106500000003
86,12.334234000000002
87,8.141706
88,8.241558000000001
89,10.0967485
90,8.590883000000002
91,14.146563500000001
92,10.858434
93,18.833798499999997
94,13.2131985
95,18.211058
96,16.3761205
97,22.4110435
98,20.599813
99,16.5598105
100,13.619514500000001
101,10.4283325
102,10.277926500000001
103,13.206604500000001
104,23.669006000000003
105,25.0701525
106,19.363752
107,7.4710804999999985
108,14.707603
