"","coral_num","umol.cm2.hr","Rate","coral_id","SA","chamber_vol","date","temp","wound","genotype","wound_status"
"1","103",0.228073627938226,"Respiration","20230622_10_A_103_O2",19.7046255265744,646.754138461058,20230622,"A","0",66,"no wound"
"2","104",0.206729086827736,"Respiration","20230622_10_A_104_O2",34.5805950035612,645.802096009025,20230622,"A","2",66,"wounded"
"3","106",0.204510316712049,"Respiration","20230622_10_A_106_O2",21.0663197903596,646.494490519594,20230622,"A","1",66,"wounded"
"4","15",0.199002331359403,"Respiration","20230622_10_A_15_O2",16.6948489197158,647.138102689647,20230622,"A","0",68,"no wound"
"5","19",0.176687722073668,"Respiration","20230622_10_A_19_O2",13.5824048882068,647.31749581284,20230622,"A","0",70,"no wound"
"6","25",0.163154961791016,"Respiration","20230622_10_A_25_O2",18.0241218915062,646.722141442009,20230622,"A","2",70,"wounded"
"7","26",0.168197762721833,"Respiration","20230622_10_A_26_O2",12.5476253187034,647.299661408779,20230622,"A","1",70,"wounded"
"8","41",0.249825339163119,"Respiration","20230622_10_A_41_O2",29.2743102137316,646.439413683526,20230622,"A","0",69,"no wound"
"9","49",0.191443610400439,"Respiration","20230622_10_A_49_O2",24.4192217374974,646.781414608444,20230622,"A","2",69,"wounded"
"10","5",0.204104509817868,"Respiration","20230622_10_A_5_O2",54.2630210187899,644.614009973844,20230622,"A","0",68,"no wound"
"11","52",0.217911307286239,"Respiration","20230622_10_A_52_O2",10.5266981176888,647.712999949938,20230622,"A","1",69,"wounded"
"12","57",0.203780356178202,"Respiration","20230622_10_A_57_O2",26.9561878360973,647.072010486365,20230622,"A","0",65,"no wound"
"13","59",0.257952911471198,"Respiration","20230622_10_A_59_O2",25.48101905033,647.163805213145,20230622,"A","2",65,"wounded"
"14","69",0.304493959230709,"Respiration","20230622_10_A_69_O2",12.1585698147647,647.459646504025,20230622,"A","1",65,"wounded"
"15","85",0.200796569335535,"Respiration","20230622_10_A_85_O2",20.3449460434734,646.556910933805,20230622,"A","1",67,"wounded"
"16","87",0.212976267608913,"Respiration","20230622_10_A_87_O2",14.9305902803275,647.521017835643,20230622,"A","2",67,"wounded"
"17","9",0.197044984946717,"Respiration","20230622_10_A_9_O2",23.1358789293665,646.88265107855,20230622,"A","2",68,"wounded"
"18","90",0.2022812913185,"Respiration","20230622_10_A_90_O2",18.9589358106921,647.047357045458,20230622,"A","0",67,"no wound"
"19","18",0.328347426677904,"Respiration","20230622_10_H_18_O2",23.4952149156432,646.72581323108,20230622,"H","0",68,"no wound"
"20","23",0.370829879433493,"Respiration","20230622_10_H_23_O2",14.5145170330597,647.360508199102,20230622,"H","1",70,"wounded"
"21","24",0.304781316681172,"Respiration","20230622_10_H_24_O2",17.3189587906174,647.268188931026,20230622,"H","2",70,"wounded"
"22","3",0.223479803644757,"Respiration","20230622_10_H_3_O2",28.331390971547,646.500260473849,20230622,"H","1",68,"wounded"
"23","32",0.250728130170427,"Respiration","20230622_10_H_32_O2",25.8268461649421,646.165603127074,20230622,"H","0",70,"no wound"
"24","43",0.329655018317298,"Respiration","20230622_10_H_43_O2",33.5917455977173,646.095839134721,20230622,"H","2",69,"wounded"
"25","46",0.392290243762669,"Respiration","20230622_10_H_46_O2",15.7708420978616,647.054700623601,20230622,"H","1",69,"wounded"
"26","51",0.23292276166158,"Respiration","20230622_10_H_51_O2",15.9545627524993,647.2970387023,20230622,"H","0",69,"no wound"
"27","56",0.235097806224841,"Respiration","20230622_10_H_56_O2",21.0420038213635,646.989657502911,20230622,"H","1",65,"wounded"
"28","58",0.239984976784855,"Respiration","20230622_10_H_58_O2",11.4750209085392,647.647432287952,20230622,"H","0",65,"no wound"
"29","63",0.31551112312711,"Respiration","20230622_10_H_63_O2",19.0399890406792,647.37099902502,20230622,"H","2",65,"wounded"
"30","7",0.242302523570319,"Respiration","20230622_10_H_7_O2",42.9452883382418,645.632669170454,20230622,"H","2",68,"wounded"
"31","74",0.241153416597821,"Respiration","20230622_10_H_74_O2",17.9052438208582,647.068338697294,20230622,"H","1",67,"wounded"
"32","76",0.214166387986667,"Respiration","20230622_10_H_76_O2",20.882599135722,646.612512311169,20230622,"H","2",67,"wounded"
"33","81",0.384484605185145,"Respiration","20230622_10_H_81_O2",19.6073616505898,646.647656577993,20230622,"H","0",67,"no wound"
"34","92",0.230821682855388,"Respiration","20230622_10_H_92_O2",11.3237215458964,647.27658159176,20230622,"H","1",66,"wounded"
"35","97",0.224323688520343,"Respiration","20230622_10_H_97_O2",30.9548138487998,646.098461841201,20230622,"H","0",66,"no wound"
"36","98",0.248232980019197,"Respiration","20230622_10_H_98_O2",26.7616600841279,645.990406334248,20230622,"H","2",66,"wounded"
"37","101",0.232861306357141,"Respiration","20230623_10_A_101_O2",13.5499835962119,647.40983637524,20230623,"A","2",66,"wounded"
"38","108",0.194818577732636,"Respiration","20230623_10_A_108_O2",21.9930283865468,647.166399944341,20230623,"A","0",66,"no wound"
"39","11",0.197983465591572,"Respiration","20230623_10_A_11_O2",23.8275331585908,646.898876119227,20230623,"A","0",68,"no wound"
"40","12",0.18856555277587,"Respiration","20230623_10_A_12_O2",34.6832624282118,646.35665350051,20230623,"A","1",68,"wounded"
"41","16",0.204941016143688,"Respiration","20230623_10_A_16_O2",40.2164962620056,646.082979702405,20230623,"A","2",68,"wounded"
"42","20",0.167593471474236,"Respiration","20230623_10_A_20_O2",13.4311055255641,647.369861550797,20230623,"A","1",70,"wounded"
