"","coral_id","genotype","wound","temp","wound_status","growthrate","timepoint","weight"
"1",59,65,2,"A","wounded",2.01434063702236,"day10",0.523864721402091
"2",69,65,1,"A","wounded",2.57151670146927,"day10",0.949246052803085
"3",49,69,2,"A","wounded",2.01904902993821,"day10",0.671630179955836
"4",25,70,2,"A","wounded",1.34848244923861,"day10",0.807577050308207
"5",85,67,1,"A","wounded",2.29653020338132,"day10",0.990525436120456
"6",52,69,1,"A","wounded",2.31184788945191,"day10",1.06705058497214
"7",26,70,1,"A","wounded",1.74197691214348,"day10",1.0937997352809
"8",9,68,2,"A","wounded",1.72828182749433,"day10",0.609329505018791
"9",87,67,2,"A","wounded",2.30591686135744,"day10",0.937377123049257
"10",106,66,1,"A","wounded",1.32759849294364,"day10",0.554105453934807
"11",7,68,2,"H","wounded",1.38575945927361,"day10",0.526414034287292
"12",74,67,1,"H","wounded",2.21777962231045,"day10",0.725809667609424
"13",63,65,2,"H","wounded",1.62730620847853,"day10",0.727664396588876
"14",23,70,1,"H","wounded",2.26035344554669,"day10",0.874363975263903
"15",56,65,1,"H","wounded",2.10030765936497,"day10",0.638778812556939
"16",76,67,2,"H","wounded",1.41920814467197,"day10",0.731854591401891
"17",46,69,1,"H","wounded",2.12874862191548,"day10",0.958270835315456
"18",92,66,1,"H","wounded",1.76094465688048,"day10",0.816481726135883
"19",24,70,2,"H","wounded",1.8150519547795,"day10",0.8518468325587
"20",43,69,2,"H","wounded",1.98656467208871,"day10",0.53623606447279
"21",98,66,2,"H","wounded",1.44942969320971,"day10",0.581394774530503
"22",3,68,1,"H","wounded",1.72326830404818,"day10",0.586171832505618
"23",91,66,1,"A","wounded",0.115796142019331,"day10",0.750324435791655
"24",78,67,2,"A","wounded",-0.0886292396960364,"day10",0.889597278017614
"25",101,66,2,"A","wounded",0.767405219253336,"day10",0.756249312296032
"26",62,65,2,"A","wounded",-0.321399788690735,"day10",0.909770946535232
"27",67,65,1,"A","wounded",-0.985802949657955,"day10",0.93886141020241
"28",42,69,2,"A","wounded",0.535255986267547,"day10",0.689927130383883
"29",75,67,1,"A","wounded",0.289543454728458,"day10",0.530553058504636
"30",54,69,1,"A","wounded",-0.651468693995672,"day10",0.828604278152904
"31",16,68,2,"A","wounded",0.764924976666304,"day10",0.459758021626855
"32",20,70,1,"A","wounded",-0.472391152338314,"day10",0.961013967466467
"33",12,68,1,"A","wounded",0.213060651352565,"day10",0.406558543735249
"34",45,69,2,"H","wounded",0.153404982373628,"day10",0.646636415534222
"35",84,67,1,"H","wounded",-1.00223043382576,"day10",0.801208306647403
"36",33,70,2,"H","wounded",-1.20251183550032,"day10",0.797698358960278
"37",73,67,2,"H","wounded",0.119367852103569,"day10",0.751635165902759
"38",50,69,1,"H","wounded",-0.262739173614901,"day10",0.57022231720451
"39",70,65,1,"H","wounded",0.236098299016385,"day10",0.734529810489115
"40",55,65,2,"H","wounded",0.535774527014454,"day10",0.634396855895791
"41",2,68,1,"H","wounded",0.589452499303156,"day10",0.468188063290645
"42",96,66,1,"H","wounded",0.247188221556927,"day10",0.670170518456254
"43",94,66,2,"H","wounded",-1.04492255845918,"day10",0.856333895811265
"44",14,68,2,"H","wounded",-1.07138220181825,"day10",0.832721610700783
"45",35,70,1,"H","wounded",-0.158688439223298,"day10",0.982324729171992
"46",82,67,2,"A","wounded",0.339731369115537,"day10",0.810860231123144
"47",105,66,1,"A","wounded",1.59145324821524,"day10",0.500581336963863
"48",6,68,1,"A","wounded",0.313338627737625,"day10",0.587392906301418
"49",102,66,2,"A","wounded",1.91024530217745,"day10",0.801530693233066
"50",4,68,2,"A","wounded",0.741272084038391,"day10",0.56308657155589
"51",27,70,2,"A","wounded",0.309245470338659,"day10",0.611449216972333
"52",22,70,1,"A","wounded",0.00651707854179007,"day10",0.863955146689089
"53",44,69,2,"A","wounded",3.35809264321627,"day10",0.546780961040531
"54",88,67,1,"A","wounded",1.87227263926582,"day10",1.22028016401823
"55",65,65,2,"A","wounded",1.13193706986379,"day10",0.558799659320945
"56",38,69,1,"A","wounded",1.57713853052246,"day10",0.96331243570708
"57",13,68,2,"H","wounded",-0.377676410614924,"day10",0.723490604513744
"58",30,70,1,"H","wounded",-4.65521706725694,"day10",0.819739424222401
"59",48,69,1,"H","wounded",-0.420524343020257,"day10",0.845744772618349
"60",39,69,2,"H","wounded",1.65132180465017,"day10",0.653077872794263
"61",80,67,1,"H","wounded",1.87526654807189,"day10",1.07437080543107
"62",10,68,1,"H","wounded",1.36814644819044,"day10",0.537943664487516
"63",79,67,2,"H","wounded",0.790398556190874,"day10",0.549432966714187
"64",93,66,2,"H","wounded",0.890686754614556,"day10",0.514230475261922
"65",72,65,1,"H","wounded",2.29734006285837,"day10",0.682488459726327
"66",31,70,2,"H","wounded",5.12845928997485,"day10",0.851590499211259
"67",66,65,2,"H","wounded",1.18054258375072,"day10",0.435294116543379
"68",15,68,0,"A","not wounded",1.92254984238579,"day10",0.772215959002171
"69",103,66,0,"A","not wounded",1.90174359149614,"day10",0.720122595410495
"70",41,69,0,"A","not wounded",1.85721412642741,"day10",0.529464820581382
"71",57,65,0,"A","not wounded",2.25558453666833,"day10",0.567628977811801
"72",90,67,0,"A","not wounded",2.66095783230096,"day10",1.0070261528189
"73",19,70,0,"A","not wounded",1.39084067195888,"day10",0.817465906021483
"74",81,67,0,"H","not wounded",2.39089750364095,"day10",0.959251189532101
"75",32,70,0,"H","not wounded",1.07923435878454,"day10",0.658954154008979
"76",51,69,0,"H","not wounded",2.96731089142873,"day10",0.937887309808628
