"","coral_num","umol.cm2.hr","Rate","coral_id","SA","chamber_vol","date","temp","wound","genotype","wound_status"
"1","103",0.409628893517415,"Respiration","20230613_24_A_103_O2",13.2066045,646.8398571,20230613,"A","0",66,"no wound"
"2","104",0.392616130508627,"Respiration","20230613_24_A_104_O2",23.2759611983208,645.9276618,20230613,"A","2",66,"wounded"
"3","106",0.30621440029524,"Respiration","20230613_24_A_106_O2",18.5364405,646.5784801,20230613,"A","1",66,"wounded"
"4","15",0.378901882637646,"Respiration","20230613_24_A_15_O2",10.8588265,647.209354,20230613,"A","0",68,"no wound"
"5","19",0.318607518584976,"Respiration","20230613_24_A_19_O2",9.6147585,647.3631361,20230613,"A","0",70,"no wound"
"6","25",0.32275747365353,"Respiration","20230613_24_A_25_O2",11.8925191983208,646.7768747,20230613,"A","2",70,"wounded"
"7","26",0.324366318597152,"Respiration","20230613_24_A_26_O2",7.2334924,647.3426668,20230613,"A","1",70,"wounded"
"8","41",0.414715608361785,"Respiration","20230613_24_A_41_O2",19.7038925,646.5643091,20230613,"A","0",69,"no wound"
"9","49",0.408851678379346,"Respiration","20230613_24_A_49_O2",14.0411426983208,646.8781715,20230613,"A","2",69,"wounded"
"10","5",0.530469660271403,"Respiration","20230613_24_A_5_O2",36.804254,644.5373249,20230613,"A","0",68,"no wound"
"11","52",0.444480970989862,"Respiration","20230613_24_A_52_O2",6.279843,647.7625496,20230613,"A","1",69,"wounded"
"12","57",0.393799830193773,"Respiration","20230613_24_A_57_O2",15.113762,647.1883599,20230613,"A","0",65,"no wound"
"13","59",0.474733721617796,"Respiration","20230613_24_A_59_O2",15.8629706983208,647.2728613,20230613,"A","2",65,"wounded"
"14","69",0.450027771534622,"Respiration","20230613_24_A_69_O2",7.841208,647.5284649,20230613,"A","1",65,"wounded"
"15","85",0.498405350977212,"Respiration","20230613_24_A_85_O2",10.184747,646.6367388,20230613,"A","1",67,"wounded"
"16","87",0.488451538485159,"Respiration","20230613_24_A_87_O2",7.74866119832077,647.582,20230613,"A","2",67,"wounded"
"17","9",0.409825807000266,"Respiration","20230613_24_A_9_O2",14.9899721983208,646.9710705,20230613,"A","2",68,"wounded"
