coral_id,hr24_g_cm2
59,0.3135870054760092
69,0.5955961827925862
49,0.3745802278280755
25,0.5239510195058256
5,0.2949640059095842
85,0.4843637899998149
52,0.6227717044350994
15,0.489767401124476
26,0.6205147274457619
103,0.4699007622286241
41,0.34387059366404443
57,0.30561092860980404
90,0.44425721817175745
9,0.3835930937178883
87,0.47451171878975396
104,0.345047589964278
19,0.5688249879341991
106,0.4758806176222724
7,0.2901231765937828
74,0.4650760012785785
63,0.39552060923659343
81,0.4884669143180188
32,0.4278795646377374
23,0.51905162875950694
56,0.40539349795600726
51,0.4806845570753673
97,0.36042501748480593
76,0.46607547618147227
46,0.5350394251362038
92,0.6894832024224706
24,0.4523169574886211
43,0.3279201369402088
98,0.4280461864599468
18,0.39140599215073485
58,0.5840357721899854
3,0.35129851933588574
68,0.4062502852897137
91,0.5016430208542694
11,0.3789848666595117
29,0.5272852733258933
78,0.4701168985584718
77,0.39571960996577565
101,0.5544042209087273
62,0.4860588486738857
67,0.6154214539842551
37,0.4113092207217686
42,0.4067604397591859
75,0.3526514099123189
34,0.4700458907363705
54,0.6162864048230139
16,0.2806291811572646
108,0.3745467497702436
20,0.5765859233779349
12,0.3061725217759646
45,0.351880542646325
84,0.5254409098518418
33,0.4470287457587008
73,0.3757355563975125
50,0.37725725525273157
47,0.40312497031547884
70,0.45155188879523145
55,0.3866061445373709
2,0.2585985204901171
99,0.4109821976473777
60,0.3299689794331001
28,0.48726005246881926
89,0.45105702333276576
96,0.4550991929390317
17,NA
94,0.5918596802775797
14,0.5793256345022747
35,0.7286253496134204
1,0.34276635082267004
82,0.5391957720319936
107,0.6548247498985981
64,0.44898449932576273
105,0.3246851955460392
6,0.3485928883637551
102,0.43931032140779386
4,0.3226534961121526
27,0.4487721740248035
71,0.3040236386509945
22,0.5166569467931317
44,0.2929024228358254
88,0.6333350071595192
83,0.4717843387307324
65,0.3216463247682722
38,0.49936391292268945
53,0.5254250087219718
21,0.4865148365222416
13,0.42252122315770124
30,0.4405286009135728
48,0.49086401148846615
36,0.42787097483262043
39,0.3643711806802144
80,0.5036059324937346
10,0.3870387146089192
79,0.37674648417029677
40,0.2969643139282837
100,0.4521349988792839
61,0.4540359935696857
93,0.4403667217362725
95,0.3705149931676722
72,0.3951806212939858
31,0.5138438998750898
66,0.26822125622770676
8,0.4251730196010606
86,0.4679357859818938
