coral_id,final_g_cm2
93,0.4582009474055001
40,0.3124510977169171
41,0.36713548994379003
29,0.5422022454551978
66,0.28914012088849744
39,0.3813177542761085
44,0.3068874829401963
6,0.3670870910789679
5,0.2969995902115153
78,0.4842502349226864
24,0.46739065731841634
47,0.42165669469341704
45,0.36887511396784484
52,0.649852297278424
1,0.3547139072429533
71,0.32151585723945697
2,0.27732718378738597
105,0.3472213788466327
72,0.41959848488929796
83,0.4949378020486174
11,0.40347920541923
75,0.3671755712702308
100,0.541881832534725
63,0.4104469717169316
53,0.542326323959118
87,0.4853661967569877
77,0.418046497286523
25,0.5419753774415497
68,0.43084256685987515
95,0.3867687407538542
4,0.33697682528646883
82,0.5568693819544968
38,0.5112132421488211
57,0.3265253644722728
59,0.33683070615061184
67,0.6324756934667701
31,0.5233502710048537
33,0.4440484827055168
36,0.44077324694141956
101,0.5871964150711622
80,0.5203554654145225
32,0.4390522572882936
86,0.48676795207033496
37,0.42391519978438474
94,0.6058166641164794
50,0.38495317817780456
107,0.6695537771633677
73,0.39200616681442185
35,0.7437352502916241
51,0.4918352030512374
97,0.3761487127362266
98,0.4370282182940168
26,0.6243090272404269
62,0.5070035441690437
12,0.3206345617730228
34,0.483524601480116
65,0.3436981974384323
108,0.39833569086846926
99,0.4195111119843583
23,0.5227235173573693
84,0.5402773904964548
58,0.6106807645042132
48,0.5090426572478047
10,0.4059283169122384
8,0.4469058636638717
90,0.4613509833776105
61,0.47780054718966825
27,0.4596952636383388
13,0.4481135059469746
56,0.43076357115797226
85,0.5039468718091993
3,0.36764156893445304
42,0.4306480162807233
54,0.6251695885574681
74,0.48581795703520064
64,0.46100659027469926
106,0.49519930380593874
104,0.3635669650645619
18,0.41318426478747544
20,0.5911344681119609
91,0.5227584718941823
21,0.5035531305164263
46,0.5507921914954441
103,0.4943536005345508
89,0.47126360964536496
96,0.47615894524017843
81,0.5048605134634137
19,0.5880258470951697
102,0.4660360151510992
92,0.7116055108903023
7,0.30213801619498787
9,0.40461368832310923
55,0.41001876828209294
15,0.5055634198598546
28,0.5020403108231795
16,0.3033955723822794
88,0.6437515656912471
69,0.6091293376552652
22,0.5295729506951705
60,0.3461588163708537
30,0.45148413543277555
76,0.4800342908997831
49,0.3916939650462824
79,0.4002589949603986
43,0.34757714855722843
70,0.4747857918701582
14,0.5978864732592415
