"","coral_num","umol.cm2.hr","Rate","genotype","wound","temp","date","chamber_vol","SA","file.names.full","wound_status","timepoint"
"32",81,0.565448231457631,"Respiration",67,"0","H",20230605,646.8146903,10.2396185,"20230605_g1_81_O2","no wound","0"
"33",83,0.434176161253089,"Respiration",67,"0","A",20230605,647.1042162,11.238845,"20230605_g1_83_O2","no wound","0"
"34",91,0.367983459213616,"Respiration",66,"1","A",20230605,646.6791229,14.1465635,"20230605_g1_91_O2","wounded","0"
"35",93,0.333169475044509,"Respiration",66,"2","H",20230605,646.7117011,18.8337985,"20230605_g1_93_O2","wounded","0"
"36",96,0.370766538390607,"Respiration",66,"1","H",20230605,646.5987282,16.3761205,"20230605_g1_96_O2","wounded","0"
"37",1,0.431065223177077,"Respiration",68,"0","A",20230606,646.0851762,22.4680345,"20230606_g2_1_O2","no wound","0"
"38",10,0.364490254254816,"Respiration",68,"1","H",20230606,646.7345869,19.3291335,"20230606_g2_10_O2","wounded","0"
"39",100,0.388896750016998,"Respiration",66,"1","H",20230606,647.207744,13.6195145,"20230606_g2_100_O2","wounded","0"
"41",13,0.461759855759157,"Respiration",68,"2","H",20230606,647.3110831,11.47984,"20230606_g2_13_O2","wounded","0"
"42",14,0.438355885474836,"Respiration",68,"2","H",20230606,646.6821305,12.110666,"20230606_g2_14_O2","wounded","0"
"43",16,0.381186123517768,"Respiration",68,"2","A",20230606,646.2724457,25.3558925,"20230606_g2_16_O2","wounded","0"
"45",19,0.288047930810352,"Respiration",70,"0","A",20230606,647.4180943,9.6147585,"20230606_g2_19_O2","no wound","0"
"46",22,0.458660652869515,"Respiration",70,"1","A",20230606,647.1941053,10.36043,"20230606_g2_22_O2","wounded","0"
"47",26,0.271662954140779,"Respiration",70,"1","A",20230606,647.3079357,8.60668976,"20230606_g2_26_O2","wounded","0"
"48",28,0.339936845875257,"Respiration",70,"0","H",20230606,647.0755537,11.339482,"20230606_g2_28_O2","no wound","0"
"49",30,0.382045833545333,"Respiration",70,"1","H",20230606,646.6459355,12.4358915,"20230606_g2_30_O2","wounded","0"
"50",32,0.263594813058976,"Respiration",70,"0","H",20230606,646.8662526,17.049415,"20230606_g2_32_O2","no wound","0"
"51",35,0.260826343200356,"Respiration",70,"1","H",20230606,647.660443,7.872922,"20230606_g2_35_O2","wounded","0"
"53",42,0.447845662382079,"Respiration",69,"2","A",20230606,646.7896662,14.538043,"20230606_g2_42_O2","wounded","0"
"54",43,0.406311366076677,"Respiration",69,"2","H",20230606,646.3757849,21.7254245,"20230606_g2_43_O2","wounded","0"
"55",45,0.399493059414233,"Respiration",69,"2","H",20230606,646.4759767,16.9874785,"20230606_g2_45_O2","wounded","0"
"56",47,0.427053040702192,"Respiration",69,"0","H",20230606,647.257053,13.235728,"20230606_g2_47_O2","no wound","0"
"58",52,0.43117896941593,"Respiration",69,"1","A",20230606,647.7637822,7.445882,"20230606_g2_52_O2","wounded","0"
"59",55,0.498957175705322,"Respiration",65,"2","H",20230606,647.1479436,14.2968125,"20230606_g2_55_O2","wounded","0"
"60",59,0.436759552496438,"Respiration",65,"2","A",20230606,647.37508,16.2560155,"20230606_g2_59_O2","wounded","0"
"61",65,0.459958049209317,"Respiration",65,"2","A",20230606,647.1405997,16.358458,"20230606_g2_65_O2","wounded","0"
"62",69,0.406474449491385,"Respiration",65,"1","A",20230606,647.562874,9.3852245,"20230606_g2_69_O2","wounded","0"
"64",74,0.543358796235168,"Respiration",67,"1","H",20230606,647.1143715,13.2631245,"20230606_g2_74_O2","wounded","0"
"65",77,0.472514331298546,"Respiration",67,"0","A",20230606,647.5298265,10.508481,"20230606_g2_77_O2","no wound","0"
"66",82,0.383529228150467,"Respiration",67,"2","A",20230606,647.428061,9.9410045,"20230606_g2_82_O2","wounded","0"
"67",85,0.485413893534441,"Respiration",67,"1","A",20230606,646.6433127,11.4931065,"20230606_g2_85_O2","wounded","0"
"68",87,0.450603078491004,"Respiration",67,"2","A",20230606,647.6468043,8.141706,"20230606_g2_87_O2","wounded","0"
"69",88,0.528354354510023,"Respiration",67,"1","A",20230606,647.0844713,8.241558,"20230606_g2_88_O2","wounded","0"
"70",89,0.496093706710676,"Respiration",67,"0","H",20230606,647.1579103,10.0967485,"20230606_g2_89_O2","no wound","0"
"71",95,0.356373220806877,"Respiration",66,"0","H",20230606,646.6459355,18.211058,"20230606_g2_95_O2","no wound","0"
