"","coral_num","temp","wound","genotype","timepoint","umol.sec.corr","drymass","SA"
"187","27","A","2",70,"day1",0.000650888732770831,9.79953525623586,16.1082046983208
"188","38","A","1",69,"day1",0.000843286641309235,8.16141316384956,8.6132555
"189","4","A","2",68,"day1",0.00177400395463079,12.029286809756,21.6481066983208
"190","44","A","2",69,"day1",0.00198828958344023,9.53522287359942,18.5799341983208
"191","53","A","0",69,"day1",0.000968891893614965,7.62203149928334,8.235592
"192","6","A","1",68,"day1",0.00112363053716089,9.84409955330828,16.8488475
"193","64","A","0",65,"day1",0.00103720627388218,7.01657173905801,7.920336
"194","65","A","2",65,"day1",0.00171308988128182,8.74074902579105,15.9654131983208
"196","82","A","2",67,"day1",0.0013069474569816,7.70962339352914,9.54795969832077
"197","83","A","0",67,"day1",0.00159899005073063,8.65008373174716,11.238845
"198","88","A","1",67,"day1",0.00101279842896766,8.39345484860597,6.9854795
"199","10","H","1",68,"day1",0.000871377651624118,9.73038376077865,18.5601475
"200","100","H","1",66,"day1",0.00131549273757467,8.42418884658695,12.7046755
"201","13","H","2",68,"day1",0.00078090799682214,8.06306437031042,11.0867951983208
"202","30","H","1",70,"day1",0.00106051144327931,9.89327395007785,11.4202585
"203","31","H","2",70,"day1",0.000745968747108244,9.28935088975157,11.6072501983208
"204","36","H","0",70,"day1",0.00145448674481204,9.59976426935948,15.157251
"205","39","H","2",69,"day1",0.00172292740113919,8.41035854749551,13.2121041983208
"206","40","H","0",69,"day1",0.001121629220893,13.2033255326295,26.901793
"207","48","H","1",69,"day1",0.001133579779729,8.72538202680056,10.265759
"208","61","H","0",65,"day1",0.0011308515415226,6.93358994450936,10.0055315
"209","66","H","2",65,"day1",0.00102288780519571,9.92093454826073,23.4266811983208
"210","72","H","1",65,"day1",0.00184332201353628,8.29510605506682,12.577584
"211","79","H","2",67,"day1",0.00180691703767489,8.43033564618314,15.5676536983208
"212","8","H","0",68,"day1",0.00110775111889629,7.38537971482978,9.450772
"213","80","H","1",67,"day1",0.00111518324247374,10.1084119359447,9.5758225
"214","86","H","0",67,"day1",0.000648843341710065,9.52139257450798,12.334234
"215","93","H","2",66,"day1",0.000923568003628723,9.3185481878335,18.4407536983208
"216","95","H","0",66,"day1",0.00178852956618341,10.2129075290801,18.211058
"217","103","A","0",66,"day10",0.00130054584174971,9.51037430909993,13.2066045
"219","106","A","1",66,"day10",0.00102697050007813,10.271142777588,18.5364405
"220","15","A","0",68,"day10",0.00032933149583904,8.38535911933569,10.8588265
"221","19","A","0",70,"day10",0.000351816552622016,7.85973726838026,9.6147585
"222","25","A","2",70,"day10",0.000717386750926453,9.60412557491362,11.8925191983208
"223","26","A","1",70,"day10",0.00038960911591498,7.91199207227641,7.2334924
"224","41","A","0",69,"day10",0.00176044447170514,10.4325179072673,19.7038925
"225","49","A","2",69,"day10",0.000846529530902328,9.43045519725875,14.0411426983208
"227","52","A","1",69,"day10",0.000589193222019352,6.70091014668321,6.279843
"228","57","A","0",65,"day10",0.000549594790689987,8.57900927495084,15.113762
"229","59","A","2",65,"day10",0.00158320349173966,8.31005072548535,15.8629706983208
"230","69","A","1",65,"day10",0.000337782958224036,7.44323574320798,7.841208
"231","85","A","1",67,"day10",0.000906821594450527,10.0882509639515,10.184747
"232","87","A","2",67,"day10",0.000493094085722098,7.26341774156533,7.74866119832077
"233","9","A","2",68,"day10",0.00106376359327377,9.13383233984823,14.9899721983208
"234","90","A","0",67,"day10",0.000518373954128181,8.65124385680729,8.590883
"235","18","H","0",68,"day10",0.00198201399833439,9.593367232935,14.7492865
"236","23","H","1",70,"day10",0.000889200462761306,7.73371097663071,8.8449561
"237","24","H","2",70,"day10",0.00131492174283949,8.00420643209315,9.39629769832077
"238","3","H","1",68,"day10",0.00120474415286826,10.2542368116216,17.493568
"239","32","H","0",70,"day10",0.00192855923961796,11.234782837673,17.049415
"240","43","H","2",69,"day10",0.00208297911213933,11.4391913352668,21.3323796983208
"241","46","H","1",69,"day10",0.00136133843541824,8.62972717285005,9.00552
"242","51","H","0",69,"day10",0.00139037785725303,7.91967660226114,8.4441665
"243","56","H","1",65,"day10",0.00132503842457249,8.82030351647131,13.8080715
"244","58","H","0",65,"day10",0.000706248235233022,6.89302339630142,9.7158665
"245","63","H","2",65,"day10",0.00123532166906294,7.7029728566918,10.5858866983208
"246","7","H","2",68,"day10",0.00205396999944103,12.7962793305698,24.3083931983208
"247","74","H","1",67,"day10",0.00110814644630616,8.58976761692946,11.8347385
"248","76","H","2",67,"day10",0.00133950352539865,9.92533892827527,13.5619001983208
"249","81","H","0",67,"day10",0.00141403335096072,9.82236622647991,10.2396185
"250","92","H","1",66,"day10",0.00063888793391914,7.97961593614202,9.7731715
"251","97","H","0",66,"day10",0.00215681828776655,11.431506805282,22.4110435
"252","98","H","2",66,"day10",0.00183946567789737,11.7481094406529,20.2067681983208
"253","101","A","2",66,"day10",0.000825563674971385,7.58917942054791,10.0352876983208
"254","108","A","0",66,"day10",0.0015289293695646,8.30244816308061,14.707603
"256","12","A","1",68,"day10",0.00101717199392481,10.6750052435052,26.256994
"257","16","A","2",68,"day10",0.00234790500118406,11.4768694719525,24.9628476983208
"258","20","A","1",70,"day10",0.000653152986703436,7.70630565616381,8.018932
"259","29","A","2",70,"day10",0.000701445056346607,8.97367159026401,11.8611976983208
"260","34","A","0",70,"day10",0.000897916981884274,8.46462295085646,10.827819
"262","42","A","2",69,"day10",0.00112075257377507,9.75901801625265,14.1449981983208
"263","54","A","1",69,"day10",0.000516358370112755,7.1852440695136,8.6715025
"264","62","A","2",65,"day10",0.00048543501165428,7.32189134439882,8.04806019832077
"265","67","A","1",65,"day10",0.000665410680016505,9.15236418049852,9.7483655
"266","68","A","0",65,"day10",0.00140901333594452,7.25281689775354,8.8153145
"267","75","A","1",67,"day10",0.00106311425737066,10.059341697319,18.960105
"268","77","A","0",67,"day10",0.000852964713743261,7.55614381563061,10.508481
"269","78","A","2",67,"day10",0.000562211813488192,9.1793933117945,10.3185941983208
"270","91","A","1",66,"day10",0.00143928869117927,9.91218309359651,13.2105295
"271","14","H","2",68,"day10",0.00150159413322484,9.75751639784731,11.7176211983208
"273","2","H","1",68,"day10",0.00197197935206163,12.8583584048579,27.4640885
"274","28","H","0",70,"day10",0.00110784264645498,8.47363266128846,11.339482
"275","33","H","2",70,"day10",0.0011694042341123,7.69729594573182,9.64938169832077
"276","35","H","1",70,"day10",0.000810012202999943,7.17022788546029,7.299244
"277","45","H","2",69,"day10",0.00254987717537668,10.7305651245024,16.5944336983208
"278","47","H","0",69,"day10",0.002071854157112,8.31896596553926,13.235728
"279","50","H","1",69,"day10",0.0013076910305627,10.1329209991803,17.7701235
"280","55","H","2",65,"day10",0.00212094182471945,8.82050651292015,13.9037676983208
"281","60","H","0",65,"day10",0.00167665775878304,8.7198980797629,18.8185695
"282","70","H","1",65,"day10",0.000935788068356421,8.00963257404087,10.904435
"283","73","H","2",67,"day10",0.00113166556131186,9.52326392661552,12.6700616983208
"284","84","H","1",67,"day10",0.000941725872879393,9.29051307378906,11.5956275
"285","89","H","0",67,"day10",0.0014364165056921,8.55772329198705,10.0967485
"286","94","H","2",66,"day10",0.00062155197869867,10.9783321613822,12.8201536983208
"287","96","H","1",66,"day10",0.00141429331957974,10.2065003010416,15.2297065
"288","99","H","0",66,"day10",0.00180115990282444,8.99018939272266,16.5598105
"289","1","A","0",68,"day10",0.00167603855922637,11.9735080677468,22.4680345
"290","102","A","2",66,"day10",0.000483468088227098,7.92303608018189,9.88488169832077
"291","105","A","1",66,"day10",0.00118393692606371,12.0639957039703,24.099971
"292","107","A","0",66,"day10",0.000636560739084742,6.97368274420965,7.4710805
"293","21","A","0",70,"day10",0.000746591906247831,7.54421495904273,10.917466
"294","22","A","1",70,"day10",0.000676516367554083,8.2911213800742,9.5967035
"295","27","A","2",70,"day10",0.00102794640632021,9.84934914961829,16.1082046983208
"296","38","A","1",69,"day10",0.000547618211785284,8.2972561350724,8.6132555
"297","4","A","2",68,"day10",0.0014372308287654,12.1897581814335,21.6481066983208
"298","44","A","2",69,"day10",0.00202020994348371,10.1591542770276,18.5799341983208
"299","53","A","0",69,"day10",0.000723038067483973,7.65617423775997,8.235592
"300","6","A","1",68,"day10",0.0014366737667027,9.89689350085438,16.8488475
"301","64","A","0",65,"day10",0.000195924468678065,7.20220236789279,7.920336
"302","65","A","2",65,"day10",0.00179134118978148,8.92146745613977,15.9654131983208
"304","82","A","2",67,"day10",0.00108822758700521,7.74206080773484,9.54795969832077
"305","83","A","0",67,"day10",0.00077819007234609,8.92606852238842,11.238845
"306","88","A","1",67,"day10",0.000588773921871156,8.52424207000599,6.9854795
"307","10","H","1",68,"day10",0.00200255255726765,9.98431375957881,18.5601475
"308","100","H","1",66,"day10",0.00112221986315592,8.55338215624747,12.7046755
"309","13","H","2",68,"day10",0.000816312705763982,8.02119216015317,11.0867951983208
"310","30","H","1",70,"day10",0.0010953677979549,9.36163612726099,11.4202585
"311","31","H","2",70,"day10",0.00126740413669476,9.88462399085797,11.6072501983208
"312","36","H","0",70,"day10",0.000690859062072242,9.60089157219099,15.157251
"313","39","H","2",69,"day10",0.00156884028067323,8.62853290497548,13.2121041983208
"314","40","H","0",69,"day10",0.00180547393975699,13.4504503335647,26.901793
"315","48","H","1",69,"day10",0.00130502950973512,8.68221201120977,10.265759
"316","61","H","0",65,"day10",0.000659197698485345,6.97368274420965,10.0055315
"317","66","H","2",65,"day10",0.00305980395752971,10.1974964957664,23.4266811983208
"318","72","H","1",65,"day10",0.00139434422139354,8.58405593123849,12.577584
"319","79","H","2",67,"day10",0.00168525766401144,8.55338215624747,15.5676536983208
"320","8","H","0",68,"day10",0.00125672136391325,7.42305354782817,9.450772
"321","80","H","1",67,"day10",0.000936896680301985,10.28798413199,9.5758225
"322","86","H","0",67,"day10",0.000639470427315394,9.7358561821515,12.334234
"323","93","H","2",66,"day10",0.00165858966720446,9.48279753847554,18.4407536983208
"324","95","H","0",66,"day10",0.00213986148133158,10.4168139869523,18.211058
"325","103","A","0",66,"day19",0.00125677523474262,9.7410525762471,13.2066045
"327","106","A","1",66,"day19",0.00113431954519446,10.4320268939394,18.5364405
"328","15","A","0",68,"day19",0.000914429801472357,8.44030491389513,10.8588265
"329","19","A","0",70,"day19",0.000665343664098945,7.98680513997737,9.6147585
"330","25","A","2",70,"day19",0.00053902927643002,9.76863026520156,11.8925191983208
"331","26","A","1",70,"day19",0.000618126308032125,7.83359575689705,7.2334924
"332","41","A","0",69,"day19",0.00120141595601977,10.7476382230848,19.7038925
"333","49","A","2",69,"day19",0.000768093808389146,9.56486178570472,14.0411426983208
"335","52","A","1",69,"day19",0.000651538419881277,6.84079895453654,6.279843
"336","57","A","0",65,"day19",0.0016535875316804,8.8018790579647,15.113762
"337","59","A","2",65,"day19",0.000703597117115577,8.58278964015984,15.8629706983208
"338","69","A","1",65,"day19",0.000443557055488624,7.40614157810294,7.841208
"339","85","A","1",67,"day19",0.000860576554176833,10.2527719157354,10.184747
"340","87","A","2",67,"day19",0.000585484684539075,7.2468038196994,7.74866119832077
"341","9","A","2",68,"day19",0.000678690610667995,9.36109330620789,14.9899721983208
"342","90","A","0",67,"day19",0.00101068917005883,8.74672368005579,8.590883
"343","18","H","0",68,"day19",0.000809218561954041,9.70785310094376,14.7492865
"344","23","H","1",70,"day19",0.00118480000915161,7.58707939626444,8.8449561
"345","24","H","2",70,"day19",0.000564978687894502,8.09471953321724,9.39629769832077
"346","3","H","1",68,"day19",0.00176229156993837,10.4157970268749,17.493568
"347","32","H","0",70,"day19",0.00175488949236475,11.3393351073553,17.049415
"348","43","H","2",69,"day19",0.00218142639385656,11.6757231499144,21.3323796983208
"349","46","H","1",69,"day19",0.00101656069970546,8.68645668080981,9.00552
"350","51","H","0",69,"day19",0.00126615970191309,7.84701561096919,8.4441665
"351","56","H","1",65,"day19",0.00174821836939448,9.06412871041024,13.8080715
"352","58","H","0",65,"day19",0.000963779143050533,7.00757454112856,9.7158665
"353","63","H","2",65,"day19",0.000722260871278372,7.81490584327036,10.5858866983208
"354","7","H","2",68,"day19",0.00254144967786605,12.9754042234381,24.3083931983208
"355","74","H","1",67,"day19",0.00100017442064975,8.6986889732665,11.8347385
"356","76","H","2",67,"day19",0.000855302304612285,10.0243636682607,13.5619001983208
"357","81","H","0",67,"day19",0.000261864366325183,9.8989826705796,10.2396185
"358","92","H","1",66,"day19",0.000837888550436524,8.05802265584716,9.7731715
"359","97","H","0",66,"day19",0.000884215955721251,11.6436133822156,22.4110435
"360","98","H","2",66,"day19",0.00226333229460874,11.6956006251565,20.2067681983208
"361","101","A","2",66,"day19",0.000729070282849208,7.9565017919687,10.0352876983208
"362","108","A","0",66,"day19",0.00107256657893878,8.76060815664496,14.707603
"364","12","A","1",68,"day19",0.00166670832407067,11.1206526495284,26.256994
"365","16","A","2",68,"day19",0.00135610548396305,12.201506902621,24.9628476983208
"366","20","A","1",70,"day19",0.000374085899874818,7.93958942100993,8.018932
"367","29","A","2",70,"day19",0.000832031519397552,9.25414189098736,11.8611976983208
"368","34","A","0",70,"day19",0.000607659211091935,8.73600834434129,10.827819
"370","42","A","2",69,"day19",0.000823922222890294,10.251971777555,14.1449981983208
"371","54","A","1",69,"day19",0.000760695027838403,7.34611894918385,8.6715025
"372","62","A","2",65,"day19",0.000464341033318417,7.6643790208626,8.04806019832077
"373","67","A","1",65,"day19",0.00056691586052488,9.50475247883102,9.7483655
"374","68","A","0",65,"day19",0.00130616040103579,7.59211707222057,8.8153145
"375","75","A","1",67,"day19",0.00124586042711862,10.4164830223358,18.960105
"376","77","A","0",67,"day19",0.000783673493378047,7.88731481986462,10.508481
"377","78","A","2",67,"day19",0.000649465692963496,9.46477778383755,10.3185941983208
"378","91","A","1",66,"day19",0.00148907583273786,10.3134713083142,13.2105295
"379","14","H","2",68,"day19",0.00063294073553405,10.1996971764097,11.7176211983208
"380","2","H","1",68,"day19",0.00320889079689241,13.6159961100821,27.4640885
"381","28","H","0",70,"day19",0.00152229116281519,9.00814376795065,11.339482
"382","33","H","2",70,"day19",0.000531509611057943,7.76124078180831,9.64938169832077
"383","35","H","1",70,"day19",0.000603436146868608,7.33074406649406,7.299244
"384","45","H","2",69,"day19",0.00210316074622626,11.2221268752811,16.5944336983208
