"Day","Mean Area","Area SD","Mean Perimeter","Perimeter SD","Mean Ferets Diameter","Ferets Diameter SD","Mean % Wound Closure","Mean % Wound Closure SD"
"0",20.4953333333333,6.47430245406149,22.9893333333333,4.00016407996805,7.02983333333333,1.21143739692428,0,0
"1",19.018,5.86969178066447,21.4226666666667,4.64773780098089,6.51583333333333,1.72534998381971,-5.52816025649736,15.0903015635871
"10",15.096,8.50849570723286,16.1163333333333,5.65451917201336,5.44383333333333,2.09609173622403,-25.6310153105781,31.8127604635643
"19",2.90766666666667,4.51986268227992,3.74833333333333,5.80982893609327,1.2515,1.93981604797981,-86.2471960647709,21.8191208697594
